Well,topoil,baseoil,topgas,basegas,topcond,basecond
15_12-1.las,,,,,,
15_12-10S.las,3373,3383,,,,
15_12-11S.las,,,,,,
15_12-12.las,,,,,,
15_12-13.las,,,,,,
15_12-13A.las,,,,,,
15_12-13B.las,,,,,,
15_12-14.las,3109,3200,,,,
15_12-15.las,,,,,,
15_12-16S.las,,,2838,2890,2838,2890
15_12-17A.las,3367,3510,,,,
15_12-17S.las,,,3248,3284,3248,3284
15_12-18A.las,,,,,,
15_12-18S.las,2985,3062,2974,2985,,
15_12-19.las,,,,,,
15_12-2.las,,,,,,
15_12-20S.las,3386,3634,,,,
15_12-21.las,,,,,,
15_12-21A.las,,,,,,
15_12-22.las,,,,,,
15_12-23.las,,,,,,
15_12-23A.las,,,,,,
15_12-24S.las,,,,,,
15_12-3.las,2911,2913,,,,
15_12-4.las,2818,2897,,,,
15_12-5.las,2833,2941,,,,
15_12-6S.las,,,,,,
15_12-7S.las,,,2841,2873,2841,2873
15_12-8.las,,,2841,2873,2841,2873
15_12-8A.las,3509,3550,,,,
15_12-9S.las,,,,,,
15_2-1.las,,,,,,
15_3-1S.las,,,,,,
15_3-2.las,,,,,,
15_3-2R.las,4770,4898,4529,4945,4594,4621
15_3-3.las,3800,3864,,,,
15_3-4.las,,,,,,
15_3-6.las,4767,4784,,,,
15_3-7.las,4150,4166,4085,4182,,
15_3-8.las,,,,,,
15_3-9.las,3564,3581,3564,3581,,
15_5-1.las,,,,,,
15_5-3.las,,,,,,
15_5-4.las,2153,2189,,,,
15_5-5.las,,,,,,
15_5-6.las,,,,,,
15_6-1.las,,,,,,
15_6-10.las,4139,4157,4139,4157,,
15_6-11A.las,,,,,,
15_6-11S.las,3804,3809,,,,
15_6-12.las,,,,,,
15_6-2.las,,,,,,
15_6-2R.las,,,3515,3541,3514,3518
15_6-3.las,,,,,,
15_6-4.las,,,,,,
15_6-5.las,,,,,,
15_6-7.las,,,,,,
15_6-8A.las,,,,,,
15_6-8S.las,,,,,,
15_6-9A.las,,,,,,
15_6-9B.las,,,,,,
15_6-9S.las,,,,,,
15_8-1.las,,,,,,
15_8-2.las,,,,,,
15_9-1.las,,,2796,2823,2796,2823
15_9-10.las,,,2396,2343,2396,2343
15_9-11.las,,,,,,
15_9-13.las,,,2828,2858,2828,2858
15_9-14.las,,,,,,
15_9-15.las,,,,,,
15_9-16.las,,,2385,2466,2385,2466
15_9-17.las,,,,,,
15_9-17R.las,3801,3818,,,,
15_9-18.las,,,,,,
15_9-19A.las,,,,,,
15_9-19B.las,,,,,,
15_9-19S.las,,,,,,
15_9-19SR.las,,,,,,
15_9-19SR2.las,,,,,,
15_9-23.las,,,,,,
15_9-24.las,,,2386,2476,2387,2391
15_9-6.las,,,,,,
15_9-9.las,,,,,,
16_01-1_UK.las,,,,,,
16_07-1_UK.las,,,,,,
16_07-2_UK.las,,,,,,
16_07-3_UK.las,,,,,,
16_08-1_UK.las,,,,,,
16_08A-12_UK.las,,,,,,
16_1-1.las,,,,,,
16_1-12.las,1925,1952,,,,
16_1-14.las,,,,,,
16_1-16.las,,,,,,
16_1-17.las,,,,,,
16_1-19S.las,,,,,,
16_1-20A.las,,,,,,
16_1-24.las,,,,,,
16_1-3.las,,,,,,
16_1-4.las,,,,,,
16_1-5.las,,,,,,
16_1-5A.las,,,,,,
16_1-6A.las,,,,,,
16_1-6S.las,,,,,,
16_1-7.las,,,,,,
16_1-8.las,,,,,,
16_1-9.las,,,,,,
16_10-1.las,,,,,,
16_10-2.las,,,,,,
16_10-3.las,,,,,,
16_10-4.las,,,,,,
16_10-5.las,,,,,,
16_11-1S.las,,,,,,
16_11-2.las,,,,,,
16_2-1.las,,,,,,
16_2-2.las,,,,,,
16_2-20A.las,,,,,,
16_2-20S.las,,,,,,
16_2-3.las,,,,,,
16_2-4.las,,,,,,
16_4-1.las,,,,,,
16_4-10.las,,,,,,
16_4-2.las,,,,,,
16_4-3.las,,,,,,
16_4-4.las,,,,,,
16_4-5.las,,,,,,
16_4-6S.las,,,,,,
16_4-7.las,,,,,,
16_4-8S.las,,,,,,
16_4-9S.las,,,,,,
16_5-1.las,,,,,,
16_5-5.las,,,,,,
16_7-1.las,,,,,,
16_7-10.las,,,,,,
16_7-11.las,,,,,,
16_7-2.las,,,,,,
16_7-3.las,,,,,,
16_7-4.las,,,,,,
16_7-5.las,,,,,,
16_7-6.las,,,,,,
16_7-7S.las,,,,,,
16_7-8S.las,,,,,,
16_7-9.las,,,,,,
16_8-1.las,,,,,,
16_8-2.las,,,,,,
16_8-3S.las,,,,,,
24_12-1.las,,,,,,
24_12-1R.las,,,,,,
24_12-2.las,,,,,,
24_12-3S.las,,,,,,
24_12-4.las,,,,,,
24_12-6S.las,,,,,,
24_6-1.las,,,,,,
24_6-2.las,,,,,,
24_6-4.las,,,,,,
24_9-1.las,,,,,,
24_9-10S.las,,,,,,
24_9-2.las,,,,,,
24_9-3.las,,,,,,
24_9-5.las,,,,,,
24_9-8.las,,,,,,
24_9-9S.las,,,,,,
25_10-10.las,,,,,,
25_10-11.las,,,,,,
25_10-12S.las,,,,,,
25_10-13S.las,,,,,,
25_10-14S.las,,,,,,
25_10-15S.las,,,,,,
25_10-2.las,,,,,,
25_10-2R.las,,,,,,
25_10-6S.las,,,,,,
25_10-7S.las,,,,,,
25_10-8.las,,,,,,
25_10-8A.las,,,,,,
25_10-9.las,,,,,,
25_11-1.las,,,,,,
25_11-14SR.las,,,,,,
25_11-15.las,,,,,,
25_11-16.las,,,,,,
25_11-17.las,,,,,,
25_11-2.las,,,,,,
25_11-20.las,,,,,,
25_11-21A.las,,,,,,
25_11-21S.las,,,,,,
25_11-22.las,,,,,,
25_11-24.las,,,,,,
25_11-25A.las,,,,,,
25_11-25S.las,,,,,,
25_11-26.las,,,,,,
25_11-27.las,,,,,,
25_11-28.las,,,,,,
25_11-5.las,,,,,,
25_11-7.las,,,,,,
25_11-8.las,,,,,,
25_11-9.las,,,,,,
25_4-1.las,,,,,,
25_4-10A.las,,,,,,
25_4-10S.las,,,,,,
25_4-2.las,,,,,,
25_4-3.las,,,,,,
25_4-7.las,,,,,,
25_4-8.las,,,,,,
25_5-5.las,,,,,,
